0,4,Actor,0,13251,TRUE
1,4,Actor,1,18708,TRUE
2,4,Actor,2,11116,TRUE
3,4,Actress,0,20812,TRUE
4,4,Actress,1,33179,TRUE
5,4,Actress,2,18838,TRUE
6,4,Director,0,3127,FALSE
7,4,Director,1,2699,TRUE
8,4,Director,2,5468,TRUE
9,5,Actor,0,13698,TRUE
10,5,Actor,1,15040,TRUE
11,5,Actor,2,10025,TRUE
12,5,Actress,0,11503,TRUE
13,5,Actress,1,11016,TRUE
14,5,Actress,2,15696,TRUE
15,5,Director,0,7514,TRUE
16,5,Director,1,4363,TRUE
17,5,Director,2,4212,TRUE
18,3,Actor,0,19944,TRUE
19,3,Actor,1,15107,TRUE
20,3,Actor,2,22577,TRUE
21,3,Actress,0,11129,TRUE
22,3,Actress,1,15689,TRUE
23,3,Actress,2,5209,TRUE
24,3,Director,0,3722,TRUE
25,3,Director,1,5096,TRUE
26,3,Director,2,35506,TRUE
27,0,Actor,0,18546,TRUE
28,0,Actor,1,24338,TRUE
29,0,Actor,2,14290,TRUE
30,0,Actress,0,15853,TRUE
31,0,Actress,1,12556,TRUE
32,0,Actress,2,18627,TRUE
33,0,Director,0,9788,TRUE
34,0,Director,1,7491,TRUE
35,0,Director,2,6772,TRUE
36,2,Actor,0,18016,TRUE
37,2,Actor,1,6865,TRUE
38,2,Actor,2,60819,FALSE
39,2,Actress,0,13264,TRUE
40,2,Actress,1,16633,TRUE
41,2,Actress,2,14457,TRUE
42,2,Director,0,5241,TRUE
43,2,Director,1,5192,TRUE
44,2,Director,2,4209,TRUE
45,1,Actor,0,13144,TRUE
46,1,Actor,1,83887,TRUE
47,1,Actor,2,9969,TRUE
48,1,Actress,0,5465,TRUE
49,1,Actress,1,11161,TRUE
50,1,Actress,2,32192,TRUE
51,1,Director,0,2056,TRUE
52,1,Director,1,4393,TRUE
53,1,Director,2,15491,TRUE
